2017-05-12 18:08:09	guest	http://sarasvati:8888/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 6 of /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/site/assets/cache/FileCompiler/site/templates/home.php)
2017-05-12 18:08:32	guest	http://sarasvati:8888/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 6 of /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/site/assets/cache/FileCompiler/site/templates/home.php)
2017-05-12 18:09:09	guest	http://sarasvati:8888/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 6 of /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/site/assets/cache/FileCompiler/site/templates/home.php)
2017-05-12 18:10:06	guest	http://sarasvati:8888/	Parse Error: 	syntax error, unexpected '<', expecting end of file (line 6 of /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/site/assets/cache/FileCompiler/site/templates/home.php)
2017-05-13 16:54:25	?	http://sarasvati:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-13 16:54:27	?	http://sarasvati:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-13 16:54:33	?	http://sarasvati:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-13 16:55:08	?	http://sarasvati:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-13 16:55:26	?	http://sarasvati:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-13 16:58:15	?	http://sarasvati:8888/?/	Error: 	Exception: SQLSTATE[HY000] [2002] No such file or directory (in /Volumes/RubAsdxc/odrive/Encryptor/Höhle/projekthöhle/_Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-17 13:45:42	?	http://localhost:5757/?/	Error: 	Exception: SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: YES) (in /Users/marco/Github/Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-17 13:45:46	?	http://localhost:5757/?/	Error: 	Exception: SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: YES) (in /Users/marco/Github/Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-17 13:45:46	?	http://localhost:5757/?/	Error: 	Exception: SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: YES) (in /Users/marco/Github/Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-17 13:45:53	?	http://localhost:5757/?/	Error: 	Exception: SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: YES) (in /Users/marco/Github/Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-17 13:50:37	?	http://localhost:5757/?/	Error: 	Exception: SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: YES) (in /Users/marco/Github/Sarasvati/wire/core/ProcessWire.php line 377)
2017-05-17 13:53:35	?	http://localhost:5757/?/	Error: 	Exception: SQLSTATE[HY000] [1045] Access denied for user 'root'@'localhost' (using password: YES) (in /Users/marco/Github/Sarasvati/wire/core/ProcessWire.php line 377)
